Timeline,Start time,Duration,Row,Instance number,CROSSING,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,FIRST PHASE,Fouled,Goalkeeper Actions,OFFSIDE,Offsides,PEN AREA ENTRY,POSSESSION THIRDS,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,SECOND PHASE,SHOOTING,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,TRANSITION,Turnover,Ungrouped,Notes,Flags
Individual XML,3773.0119614512473,14.0,Team Actions,350,,,,,,,,,,,,,,,Complete,,Over,Seam 1,,,,,,,,,,,,
Individual XML,3774.5719614512473,14.0,Team Actions,351,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 2,,,,,,,,,,,,
Individual XML,3779.371961451247,14.0,Team Actions,352,,,,,,,,,,,,,,,Complete,,Backwards,Seam 3,,,,,,,,,,,,
Individual XML,3783.5719614512473,14.0,Team Actions,353,,,CO Zone XAR,Teammate Not Found,Whipped,,,,,,,,,,,,,Below,,,,,,,,,,,,
Individual XML,3793.411961451247,14.0,Team Actions,354,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,3794.311961451247,14.0,Team Actions,355,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,3796.4719614512474,14.0,Team Actions,356,,,,,,,,,,,,,,,Incomplete,,Backwards,Below,,,,,,,,,,,,
Individual XML,3802.9519614512474,14.0,Team Actions,357,,,,,,,,,,,,,,"Pass into F3, Pass into box",Complete,"Complete, Incomplete",Over,Below,,,,,,,SHOT ASSIST,,,,,
Individual XML,3807.151961451247,14.0,Team Actions,358,,,,,,,,,,,,,,,,,,Seam 3,,,,,SL Zone 00 R,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,3843.5719614512473,14.0,Team Actions,359,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,3849.331961451247,14.0,Team Actions,360,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,,,,
Individual XML,3852.5719614512473,14.0,Team Actions,361,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,3857.131961451247,14.0,Team Actions,362,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,3859.5319614512473,14.0,Team Actions,363,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Neutral,,,,,,,,,,,,
Individual XML,3864.9319614512474,14.0,Team Actions,364,,CD Gold Zone,CO Zone XAR,Teammate Found,Floated,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,3867.0919614512472,14.0,Team Actions,365,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,3869.731961451247,14.0,Team Actions,366,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,3871.291961451247,14.0,Team Actions,367,,,,,,,,,,,,,,,,,,Neutral,,,,,SL Zone ONE C,,SHOT,,,,,
Individual XML,3892.378333334,14.0,Team Actions,368,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,3893.818333333333,14.0,Team Actions,369,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,3896.9883333333332,14.0,Team Actions,370,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,3900.108333333333,14.0,Team Actions,371,,,,,,,,,,,,,,,,,,Below,,,,,,,,,TURNOVER,,,
Individual XML,3911.1483333333335,14.0,Team Actions,372,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,3912.588333333333,14.0,Team Actions,373,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4835.333333300737,14.0,Team Actions,374,,,,,,Ground Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4838.693333282313,14.0,Team Actions,375,,,,,,Ground Duel +,,,,,,,,,Complete,,Around,,,,,,,,,,,,,
Individual XML,4840.973333270975,14.0,Team Actions,376,,,,,,,,,,,,,,,Complete,,Neutral,Seam 1,,,,,,,,,,,,
Individual XML,4843.37333325822,14.0,Team Actions,377,,,,,,,,,,,,,,Pass into box,,Incomplete,,Below,,,,,,,,,,,,
Individual XML,4871.333333107993,14.0,Team Actions,378,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4879.123321995465,14.0,Team Actions,379,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4881.043321985544,14.0,Team Actions,380,,,,,,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,,,,
Individual XML,4882.963321975623,14.0,Team Actions,381,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,TURNOVER,,,
Individual XML,4894.1233219160995,14.0,Team Actions,382,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,4897.843321896258,14.0,Team Actions,383,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,4899.88332188492,14.0,Team Actions,384,,,,,,,,,,,,,,,,,,Neutral,,,,,,,,,TURNOVER,,,
Individual XML,4908.043321840986,8.199999994330938,Team Actions,385,,,,,,,,,"Shot Against, Save",,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,4913.083321814059,14.0,Team Actions,386,,,,,,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,,,,
Individual XML,4918.84332178288,14.0,Team Actions,387,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,4925.443321747449,14.0,Team Actions,388,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,4940.803321665249,14.0,Team Actions,389,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
