Timeline,Start time,Duration,Row,Instance number,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,Fouled,Goalkeeper Actions,Offsides,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,Turnover,Ungrouped,Notes,Flags
INDIVIDUAL',1410.002705,14,Kelli Brown,13,,,,,,,,,,Complete,,Around,Seam 2,,,,,,,,,
INDIVIDUAL',1448.212562,14,Kelli Brown,14,,,,,,,,,,,,,Seam 3,,,SL Gold Zone,,SHOT,,,,
INDIVIDUAL',1686.233347,14,Kelli Brown,15,,,,,Ground Duel +,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',1711.636833,14,Kelli Brown,16,,,,,,,,,,Complete,,Backwards,Seam 3,,,,,,,,,
INDIVIDUAL',1807.103573,14,Kelli Brown,17,,,,,,,,,,,,,,,,,,,Turnover,,,
INDIVIDUAL',1884.574759,14,Kelli Brown,18,,,,,,,,,Pass into box,Complete,Complete,Through,Seam 2,,,,,SHOT ASSIST,,,,
INDIVIDUAL',2005.44954,14,Kelli Brown,19,,,,,,,,,,,,,Seam 3,,,,,,,,,
INDIVIDUAL',2276.639838,14,Kelli Brown,20,,,,,,,,,Pass into box,,Complete,,Seam 2,,,,,,,,,
INDIVIDUAL',2393.868945,14,Kelli Brown,21,,,,,,,,,,Complete,,Through,Seam 2,,,,,,,,,
INDIVIDUAL',2402.298284,14,Kelli Brown,22,,,,,,,,,,,,,,,,,,,Turnover,,,
INDIVIDUAL',2416.409272,14,Kelli Brown,23,,,,,,,,,,,,,,,,SL Zone XAL,,SHOT,,,,
INDIVIDUAL',2448.151965,14,Kelli Brown,24,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,
INDIVIDUAL',2725.850139,14,Kelli Brown,25,,,,,,,,,,Incomplete,,Through,Seam 2,,,,,,,,,
INDIVIDUAL',2885.415088,14,Kelli Brown,26,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,
INDIVIDUAL',2920.779503,14,Kelli Brown,27,,,,,,,,,,Complete,,Backwards,Seam 3,,,,,,,,,
INDIVIDUAL',2969.01982,14,Kelli Brown,28,,,,,,,,,Pass into box,Incomplete,Incomplete,Neutral,Seam 2,,,,,,,,,
INDIVIDUAL',3191.313302,14,Kelli Brown,29,,,,,,,,,,Incomplete,,Neutral,Seam 2,,,,,,,,,
INDIVIDUAL',3210.391782,14,Kelli Brown,30,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',3301.37644,14,Kelli Brown,31,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',3326.572087,14,Kelli Brown,32,,,,,,,,,,,,,Seam 2,,,,,,Turnover,,,
INDIVIDUAL',3450.8046,14,Kelli Brown,33,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',3653.792053,14,Kelli Brown,34,,,,,Ground Duel -,,,,,,,,Seam 2,,,,,,Turnover,,,
INDIVIDUAL',3658.803908,14,Kelli Brown,35,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',3795.747621,14,Kelli Brown,36,CD Zone 00 L,CO Zone XAR,Teammate Found,Whipped,,,,,,,,,Seam 2,,,,,,,,,
INDIVIDUAL',49.4041406,14,Kate Taylor,1,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',60.8886535,14,Kate Taylor,2,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',86.93361376,14,Kate Taylor,3,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',208.4200884,14,Kate Taylor,4,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,
INDIVIDUAL',216.6707529,14,Kate Taylor,5,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',383.3707106,14,Kate Taylor,6,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',402.0294342,14,Kate Taylor,7,,,,,,,,,,Complete,,Over,Neutral,,,,,,,,,
INDIVIDUAL',440.0250376,14,Kate Taylor,8,,,,,Ground Duel +,,,,,,,,,,,,,,,,,
INDIVIDUAL',457.9304214,14,Kate Taylor,9,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',538.57208,14,Kate Taylor,10,,,,,INTERCEPTION +,,,,Pass into F3,Complete,Complete,Through,,,,,,,,,,
INDIVIDUAL',549.7755256,14,Kate Taylor,11,,,,,,,,,,Incomplete,,Through,Below,,,,,,,,,
INDIVIDUAL',558.0292253,14,Kate Taylor,12,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',667.4331709,21.90004329,Kate Taylor,13,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',723.5912891,14,Kate Taylor,14,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',870.007893,14,Kate Taylor,15,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',892.2008174,14,Kate Taylor,16,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',1066.380033,14,Kate Taylor,17,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',1142.405159,14,Kate Taylor,18,,,,,,,,,,Complete,,"Backwards, Neutral",Neutral,,,,,,,,,
INDIVIDUAL',1147.367166,14,Kate Taylor,19,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,
INDIVIDUAL',1151.414261,14,Kate Taylor,20,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,
